iter	Passed	Remaining
405	9288	2150
406	9311	2127
407	9334	2104
408	9357	2082
409	9382	2059
410	9405	2036
411	9429	2014
412	9453	1991
413	9480	1969
414	9505	1946
415	9529	1924
416	9552	1901
417	9576	1878
418	9600	1855
419	9623	1832
420	9646	1810
421	9670	1787
422	9694	1764
423	9720	1742
424	9742	1719
425	9766	1696
426	9789	1673
427	9813	1650
428	9836	1627
429	9861	1605
430	9885	1582
431	9908	1559
432	9933	1536
433	9957	1514
434	9979	1491
435	10002	1468
436	10026	1445
437	10049	1422
438	10074	1399
439	10099	1377
440	10124	1354
441	10147	1331
442	10169	1308
443	10193	1285
444	10215	1262
445	10238	1239
446	10262	1216
447	10285	1193
448	10309	1171
449	10332	1148
450	10357	1125
451	10379	1102
452	10401	1079
453	10426	1056
454	10448	1033
455	10472	1010
456	10496	987
457	10519	964
458	10542	941
459	10568	918
460	10592	896
461	10614	873
462	10638	850
463	10661	827
464	10684	804
465	10710	781
466	10733	758
467	10758	735
468	10783	712
469	10807	689
470	10831	666
471	10855	643
472	10880	621
473	10902	598
474	10925	575
475	10948	552
476	10971	529
477	10994	506
478	11018	483
479	11041	460
480	11064	437
481	11088	414
482	11112	391
483	11135	368
484	11159	345
485	11183	322
486	11206	299
487	11230	276
488	11255	253
489	11278	230
490	11303	207
491	11327	184
492	11350	161
493	11373	138
494	11395	115
495	11418	92
496	11443	69
497	11467	46
498	11491	23
499	11513	0
