iter	Logloss
197	0.3209525682
198	0.3208233786
199	0.3206942865
200	0.3205568028
201	0.3204278079
202	0.3203121823
203	0.3201887766
204	0.3200586928
205	0.3199494609
206	0.3198392306
207	0.319733032
208	0.3196242125
209	0.3195069178
210	0.3193983175
211	0.3192789877
212	0.3191722203
213	0.3190607247
214	0.3189521633
215	0.3188419343
216	0.3187558332
217	0.3186623912
218	0.3185855425
219	0.3184861126
220	0.3183899348
221	0.3182967066
222	0.3182018671
223	0.3181044232
224	0.3180097572
225	0.3179197996
226	0.3178269757
227	0.3177400067
228	0.3176532596
229	0.3175634031
230	0.317479693
231	0.317383784
232	0.3172915087
233	0.3172047584
234	0.3171371313
235	0.3170647951
236	0.3169879307
237	0.3169077944
238	0.3168282727
239	0.3167491243
240	0.3166650497
241	0.3165970507
242	0.3165281645
243	0.3164544716
244	0.3163775854
245	0.3163089642
246	0.3162489327
247	0.316174688
248	0.3161009352
249	0.3160316731
250	0.3159724826
251	0.3158984386
252	0.3158348881
253	0.3157712294
254	0.3157080181
255	0.3156475722
256	0.3155891765
257	0.3155234534
258	0.3154615316
259	0.3154040823
260	0.3153370369
261	0.3152785935
262	0.3152232417
263	0.3151662464
264	0.3151126007
265	0.3150667599
266	0.315020577
267	0.3149673884
268	0.3149036048
269	0.3148517563
270	0.3147989747
271	0.3147472114
272	0.3146998603
273	0.3146422626
274	0.3145871767
275	0.3145354657
276	0.3144792312
277	0.3144288674
278	0.3143817874
279	0.3143339676
280	0.3142908469
281	0.314246636
282	0.3142021575
283	0.3141586367
284	0.3141111838
285	0.3140680739
286	0.3140123795
287	0.3139691742
288	0.3139237132
289	0.3138775091
290	0.3138316699
291	0.3137936775
292	0.3137545688
293	0.3137069504
294	0.3136680688
295	0.3136291262
296	0.313585782
297	0.3135536679
298	0.3135118243
299	0.3134739941
300	0.3134446552
301	0.3134095752
302	0.3133636268
303	0.3133251298
304	0.3132884928
305	0.3132418084
306	0.3131986724
307	0.3131675774
308	0.3131194332
309	0.3130806222
310	0.3130476058
311	0.3130157096
312	0.312979119
313	0.3129403065
314	0.3129015301
315	0.3128628928
316	0.31282588
317	0.3127964189
318	0.3127605651
319	0.3127305893
320	0.3126957965
321	0.312661869
322	0.3126243152
323	0.3125934034
324	0.312558935
325	0.3125243527
326	0.3124922375
327	0.3124616057
328	0.3124257929
329	0.3123939039
330	0.3123615229
331	0.3123323477
332	0.3123022402
333	0.3122680081
334	0.3122352077
335	0.3122062047
336	0.3121736819
337	0.312144707
338	0.3121144539
339	0.3120892729
340	0.3120593789
341	0.31203114
342	0.3119996761
343	0.3119693421
344	0.3119411059
345	0.3119194025
346	0.311892086
347	0.311865692
348	0.3118356849
349	0.3118092528
350	0.3117848493
351	0.3117604002
352	0.3117316677
353	0.3117016011
354	0.3116780026
355	0.3116495058
356	0.3116204571
357	0.3115945587
358	0.3115625758
359	0.3115385328
360	0.3115171701
361	0.3114932394
362	0.311465161
363	0.3114359186
364	0.3114100903
365	0.31138887
366	0.3113691674
367	0.3113410304
368	0.3113167019
369	0.3112937075
370	0.3112650857
371	0.3112375966
372	0.3112122283
373	0.3111840945
374	0.3111582562
375	0.3111325028
376	0.3111098645
377	0.3110862688
378	0.3110608401
379	0.3110353802
380	0.3110127373
381	0.3109887576
382	0.3109636288
383	0.3109405171
384	0.3109172542
385	0.3108931318
386	0.3108694409
387	0.3108483577
388	0.3108224467
389	0.310798471
390	0.3107768437
391	0.3107502922
392	0.3107285971
393	0.31070673
394	0.3106794763
395	0.3106553848
396	0.3106313312
397	0.3106064144
398	0.3105821698
399	0.3105584107
400	0.3105332352
401	0.3105068616
402	0.310485924
403	0.3104661874
404	0.3104428621
405	0.3104225692
406	0.3103992388
407	0.3103826284
408	0.3103611273
409	0.3103368414
410	0.3103169581
411	0.3102996179
412	0.3102793884
413	0.3102573576
414	0.3102346265
415	0.3102171316
416	0.3101975559
417	0.3101776868
418	0.310156031
419	0.3101350917
420	0.3101145734
421	0.3100974126
422	0.3100745041
423	0.3100512799
424	0.3100375422
425	0.3100147109
426	0.3099959079
427	0.3099731915
428	0.3099533158
429	0.3099308127
430	0.3099141943
431	0.3098955909
432	0.3098769007
433	0.3098580132
434	0.3098426998
435	0.3098246197
436	0.309809168
437	0.3097849606
438	0.3097649911
439	0.3097488504
440	0.3097268876
441	0.3097074341
442	0.3096921608
443	0.3096724976
444	0.3096566506
445	0.3096357313
446	0.3096172169
447	0.3095986464
448	0.3095814449
449	0.3095631646
450	0.3095450957
451	0.3095245264
452	0.3095071044
453	0.3094884217
454	0.3094737918
455	0.309455644
456	0.3094362832
457	0.3094184302
458	0.3094009605
459	0.309380482
460	0.3093584063
461	0.3093412645
462	0.3093241355
463	0.3093095151
464	0.3092900317
465	0.3092727817
466	0.3092543165
467	0.3092360674
468	0.3092170819
469	0.3091972573
470	0.3091826658
471	0.3091631125
472	0.309145033
473	0.3091276367
474	0.3091098024
475	0.309091542
476	0.3090724656
477	0.309052549
478	0.309033853
479	0.3090201776
480	0.309001506
481	0.3089832045
482	0.3089679088
483	0.3089502094
484	0.3089297364
485	0.3089130158
486	0.3088933875
487	0.3088755402
488	0.3088555939
489	0.3088412518
490	0.3088215276
491	0.3088034106
492	0.3087863933
493	0.3087748169
494	0.3087607404
495	0.3087456648
496	0.3087290292
497	0.3087119073
498	0.3086944108
499	0.3086770249
