iter	Logloss
0	0.6840160905
1	0.675280002
2	0.6666343252
3	0.6580337297
4	0.6497668139
5	0.6415276487
6	0.6339965648
7	0.6263981066
8	0.6190026116
9	0.6118385034
10	0.6049265975
11	0.5979157012
12	0.5910771666
13	0.5847759339
14	0.5783843366
15	0.5720045125
16	0.5661799466
17	0.5601248742
18	0.5543654478
19	0.5486982458
20	0.5432094135
21	0.5377957995
22	0.5324261685
23	0.527252771
24	0.5221735845
25	0.517294151
26	0.5125866795
27	0.5080679331
28	0.5037117617
29	0.4992958707
30	0.4949887748
31	0.4909791674
32	0.4869633154
33	0.4829698791
34	0.4791675024
35	0.475358165
36	0.4716523184
37	0.4679749159
38	0.464982663
39	0.4616791312
40	0.4584603519
41	0.4550903868
42	0.4517843181
43	0.4490553321
44	0.4460371392
45	0.4430987981
46	0.4401551795
47	0.4377256363
48	0.4353347579
49	0.4325444818
50	0.4299416073
51	0.4276856398
52	0.4255631234
53	0.4232247079
54	0.4208151042
55	0.4184192249
56	0.4162279127
57	0.4139760974
58	0.4118467347
59	0.4097261857
60	0.4078375199
61	0.4061692025
62	0.4041760223
63	0.40226918
64	0.400342746
65	0.3986286543
66	0.3968236958
67	0.395149748
68	0.393417563
69	0.3918707731
70	0.390214723
71	0.3885956669
72	0.3870248312
73	0.3854884503
74	0.3840267232
75	0.3827106533
76	0.3812874087
77	0.3799590616
78	0.3786079466
79	0.3772544428
80	0.3759442632
81	0.3747448719
82	0.3734710004
83	0.3723612937
84	0.3711199569
85	0.3699388952
86	0.3688705284
87	0.3677961505
88	0.3667663873
89	0.3657089204
90	0.3646980348
91	0.3636825025
92	0.362694055
93	0.3617907791
94	0.3608098583
95	0.3598980956
96	0.359091543
97	0.3582087906
98	0.3574192562
99	0.3566054029
100	0.3557893014
101	0.3549947848
102	0.3542750518
103	0.3534437704
104	0.3526746914
105	0.3519331958
106	0.3511771103
107	0.3504891415
108	0.3498386301
109	0.3491882234
110	0.3484975491
111	0.3478163654
112	0.3471547572
113	0.346515772
114	0.3459689474
115	0.3453630379
116	0.3447791122
117	0.3441853904
118	0.3436490136
119	0.3431029015
120	0.3426177433
121	0.3421108365
122	0.3415810438
123	0.3410303561
124	0.3405800639
125	0.3400970504
126	0.3396194697
127	0.3391606392
128	0.3386957423
129	0.3383623631
130	0.337931111
131	0.337515561
132	0.3370708916
133	0.3366428235
134	0.3362470427
135	0.3358319421
136	0.3353975581
137	0.3350122336
138	0.3346702065
139	0.3342806422
140	0.3339420773
141	0.3335944312
142	0.3332394673
143	0.3329098165
144	0.332578586
145	0.3322223956
146	0.3319168861
147	0.3316156061
148	0.3312898523
149	0.3309450953
150	0.3306154953
151	0.3303156268
152	0.3300108346
153	0.3297071636
154	0.3294039348
155	0.3291153165
156	0.328859692
157	0.3285735214
158	0.3283212719
159	0.3280507698
160	0.3277931681
161	0.3275526013
162	0.3273075426
163	0.3270618258
164	0.3268126881
165	0.326576719
166	0.3263336559
167	0.3260843411
168	0.3258598368
169	0.325631024
170	0.3254225227
171	0.3252084017
172	0.3250049216
173	0.324792473
174	0.3245927052
175	0.324407943
176	0.3242120065
177	0.3240236369
178	0.3238546468
179	0.3236841311
180	0.3235091819
181	0.3233311834
182	0.3231488418
183	0.3229677879
184	0.3228006375
185	0.3226631821
186	0.322487006
187	0.322332283
188	0.3221765491
189	0.322044214
190	0.3218795716
191	0.3217467746
192	0.3216180164
193	0.3214849877
194	0.3213510165
195	0.3212199069
196	0.3210900031
